229,Бекар №12-2 ПО 900 шпон кавказского дуба (2/2),4607099419285
230,Бекар №13-2 ПГ 550 укороченное шпон дуба (-/2),4607099419261
231,Бекар №13-2 ПГ 600 укороченное шпон дуба (-/2),4607099419254
232,Бекар №13-2 ПГ 600 шпон дуба (-/2),4607099419247
233,Бекар №13-2 ПГ 700 шпон дуба (-/2),4607099419230
234,Бекар №13-2 ПГ 800 шпон дуба (-/2),4607099419223
235,Бекар №13-2 ПГ 900 шпон дуба (-/2),4607099419216
236,Бекар №13-2 ПО 600 шпон дуба (2/2),4607099419209
237,Бекар №13-2 ПО 700 шпон дуба (2/2),4607099419193
238,Бекар №13-2 ПО 800 шпон дуба (2/2),4607099419186
239,Бекар №13-2 ПО 900 шпон дуба (2/2),4607099419179
254,Бекар №22-2 ПГ 550 укороченное шпон березы тонированный (-/2),4607099419025
272,Бекар №22-2 ПГ 550 укороченное шпон бука (-/5),4607099418929
240,Бекар №22-2 ПГ 550 укороченное шпон дуба (-/2),4607099419162
282,Бекар №22-2 ПГ 550 укороченное шпон дуба тонированный (-/2),4607099418820
255,Бекар №22-2 ПГ 600 укороченное шпон березы тонированный (-/2),4607099419018
273,Бекар №22-2 ПГ 600 укороченное шпон бука (-/5),4607099418912
241,Бекар №22-2 ПГ 600 укороченное шпон дуба (-/2),4607099419155
283,Бекар №22-2 ПГ 600 укороченное шпон дуба тонированный (-/2),4607099418813
256,Бекар №22-2 ПГ 600 шпон березы тонированный (-/2),4607099419001
274,Бекар №22-2 ПГ 600 шпон бука (-/5),4607099418905
242,Бекар №22-2 ПГ 600 шпон дуба (-/2),4607099419148
284,Бекар №22-2 ПГ 600 шпон дуба тонированный (-/2),4607099418806
257,Бекар №22-2 ПГ 700 шпон березы тонированный (-/2),4607099418998
275,Бекар №22-2 ПГ 700 шпон бука (-/5),4607099418899
243,Бекар №22-2 ПГ 700 шпон дуба (-/2),4607099419131
285,Бекар №22-2 ПГ 700 шпон дуба тонированный (-/2),4607099418790
258,Бекар №22-2 ПГ 800 шпон березы тонированный (-/2),4607099418981
276,Бекар №22-2 ПГ 800 шпон бука (-/5),4607099418882
